Subject,Object
0,19879
1,19879
1,3
3,19879
4,4
5,4
6,4
7,4
4,448
4,69
4,456
4,90
12,27
12,1353
4,10433
12,6684
5,10433
6,10433
7,10433
4,10433
5,10433
6,10433
7,10433
12,6684
12,6684
25,27
25,6684
27,1353
12,27
12,1353
27,1353
27,18887
32,1778
25,18887
34,1
35,0
35,27456
37,0
37,27456
39,1249
40,1249
12,18887
42,3
3,50
3,50
3,47
3,47
47,1249
47,48
47,49
50,47
42,53
3,53
53,1249
54,54
54,46642
54,19879
54,59
54,59
59,19879
60,59
59,19879
60,19879
60,63
64,0
65,0
66,1249
27,6684
25,27
69,90
27,70
69,90
27,4419
27,6684
74,6684
69,75
25,4419
77,373
12,80
79,80
80,1353
81,81
82,81
79,1353
79,19879
85,85
85,27910
79,27910
79,85
69,3195
90,1778
91,3195
85,19879
69,90
90,69
91,90
32,90
97,554
98,373
32,3195
98,100
97,731
97,719
97,1099
104,731
105,373
104,719
104,1099
97,108
104,554
110,1964
97,293
112,69
104,293
114,252
97,5800
104,5800
97,117
104,117
97,5798
104,5798
97,26562
104,26562
97,123
32,413
104,123
97,6684
104,6684
112,25780
129,69
97,2687
97,8584
104,2687
133,373
104,8584
135,152
129,112
135,6951
135,138
135,5534
135,5799
135,8359
12,1353
12,6388
135,6388
135,1353
129,112
12,6684
12,6565
135,6684
135,6565
135,152
152,1353
152,6388
12,554
155,90
12,1693
90,69
135,1693
152,1693
160,10433
161,54
162,54
161,0
162,0
165,90
166,292
167,292
168,292
166,292
167,292
168,171
12,1353
12,6388
135,1353
135,6388
176,176
12,18887
135,18887
179,179
180,179
180,5461
180,5461
180,5461
12,47107
185,47107
186,47107
12,1353
12,6388
185,1353
186,1353
185,6388
186,6388
54,292
54,1707
195,54
54,195
54,292
54,292
12,6684
185,6684
186,6684
202,1353
202,6388
12,18887
185,18887
186,18887
12,7135
12,208
185,7135
186,7135
202,7135
12,213
213,1353
213,6388
97,218
97,216
97,14102
218,14102
97,719
97,85
97,7226
218,719
218,85
218,7226
97,70
97,3308
218,70
218,3308
97,229
218,229
12,70
12,70
12,70
54,46642
54,39304
54,3033
54,39304
54,3033
54,239
54,242
54,242
242,242
54,242
54,244
54,244
54,246
54,246
54,1787
54,1787
250,250
250,54
252,14214
253,292
252,254
252,255
253,292
257,3521
252,3521
259,15155
260,252
252,3978
262,3521
263,263
264,0
265,0
266,0
265,0
264,0
265,3016
265,3
264,3016
264,3
264,47551
265,47551
265,54
264,54
265,39
264,39
279,719
279,5372
279,6436
282,6436
279,719
