Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
[  4.00000000e+00   1.04330000e+04],[     0.  19879.],[ 1.  3.],[    54.  39304.],[    54.  46642.]
[   12.  6684.],[  1.00000000e+00   1.98790000e+04],[ 4.  4.],[    54.  39304.],[  1.20000000e+01   4.71070000e+04]
[  5.00000000e+00   1.04330000e+04],[  3.00000000e+00   1.98790000e+04],[ 5.  4.],[   292.  38308.],[   185.  47107.]
[  6.00000000e+00   1.04330000e+04],[    27.  18887.],[ 6.  4.],[   489.  29981.],[   186.  47107.]
[  7.00000000e+00   1.04330000e+04],[    25.  18887.],[ 7.  4.],[   455.  38155.],[    54.  46642.]
[  4.00000000e+00   1.04330000e+04],[    35.  27456.],[   4.  448.],[   282.  33807.],[   264.  47551.]
[  5.00000000e+00   1.04330000e+04],[    37.  27456.],[  4.  69.],[   279.  33807.],[   265.  47551.]
[  6.00000000e+00   1.04330000e+04],[  1.20000000e+01   1.88870000e+04],[   4.  456.],[   656.  32575.],[   519.  50148.]
[  7.00000000e+00   1.04330000e+04],[    54.  19879.],[  4.  90.],[   656.  31095.],[   455.  49497.]
[   12.  6684.],[    59.  19879.],[ 12.  27.],[   656.  31097.],[   279.  49652.]
[   12.  6684.],[    59.  19879.],[   12.  1353.],[   656.  29691.],[   761.  44075.]
[   25.  6684.],[    60.  19879.],[ 25.  27.],[   732.  31048.],[   761.  50383.]
[   27.  6684.],[    79.  19879.],[   27.  1353.],[   751.  30858.],[   828.  44067.]
[   27.  4419.],[    85.  27910.],[ 12.  27.],[   761.  36027.],[  4.20000000e+01   4.66420000e+04]
[   27.  6684.],[    79.  27910.],[   12.  1353.],[   828.  34652.],[   761.  42803.]
[   74.  6684.],[    85.  19879.],[   27.  1353.],[   828.  38821.],[   761.  50822.]
[   25.  4419.],[    97.  26562.],[   32.  1778.],[  7.00000000e+00   2.88750000e+04],[  4.20000000e+01   4.64390000e+04]
[   97.  5800.],[   104.  26562.],[ 34.   1.],[  4.00000000e+00   2.88750000e+04],nan
[  104.  5800.],[   112.  25780.],[ 35.   0.],nan,nan
[   97.  5798.],[  1.20000000e+01   1.88870000e+04],[ 37.   0.],nan,nan
[  104.  5798.],[   135.  18887.],[   39.  1249.],nan,nan
[   97.  6684.],[  1.20000000e+01   1.88870000e+04],[   40.  1249.],nan,nan
[  104.  6684.],[   185.  18887.],[ 42.   3.],nan,nan
[   97.  8584.],[   186.  18887.],[  3.  50.],nan,nan
[  104.  8584.],[   292.  19879.],[  3.  50.],nan,nan
[  135.  6951.],[   297.  18885.],[  3.  47.],nan,nan
[  135.  5534.],[   282.  18885.],[  3.  47.],nan,nan
[  135.  5799.],[   279.  18885.],[   47.  1249.],nan,nan
[  135.  8359.],[   366.  18867.],[ 47.  48.],nan,nan
[   12.  6388.],[   292.  24408.],[ 47.  49.],nan,nan
[  135.  6388.],[   451.  26470.],[ 50.  47.],nan,nan
[   12.  6684.],[   489.  24445.],[ 42.  53.],nan,nan
[   12.  6565.],[   282.  18885.],[  3.  53.],nan,nan
[  135.  6684.],[   279.  18885.],[   53.  1249.],nan,nan
[  135.  6565.],[   551.  24445.],[ 54.  54.],nan,nan
[  152.  6388.],[   561.  24445.],[ 54.  59.],nan,nan
[   160.  10433.],[   455.  24445.],[ 54.  59.],nan,nan
[   12.  6388.],[   455.  25499.],[ 60.  59.],nan,nan
[  135.  6388.],[   279.  18885.],[ 60.  63.],nan,nan
[  180.  5461.],[   656.  18362.],[ 64.   0.],nan,nan
[  180.  5461.],[   455.  24445.],[ 65.   0.],nan,nan
[  180.  5461.],[   696.  19786.],[   66.  1249.],nan,nan
[   12.  6388.],[   519.  19786.],[ 25.  27.],nan,nan
[  185.  6388.],[   719.  19879.],[ 69.  90.],nan,nan
[  186.  6388.],[   730.  19879.],[ 27.  70.],nan,nan
[   12.  6684.],[   731.  19879.],[ 69.  90.],nan,nan
[  185.  6684.],[   279.  18885.],[ 69.  75.],nan,nan
[  186.  6684.],[   292.  19879.],[  77.  373.],nan,nan
[  202.  6388.],[   828.  19786.],[ 12.  80.],nan,nan
[   12.  7135.],[   292.  25120.],[ 79.  80.],nan,nan
[  185.  7135.],[   828.  18100.],[   80.  1353.],nan,nan
[  186.  7135.],[   761.  27456.],[ 81.  81.],nan,nan
[  202.  7135.],[   917.  19786.],[ 82.  81.],nan,nan
[  213.  6388.],[   943.  22106.],[   79.  1353.],nan,nan
[    97.  14102.],[   943.  28138.],[ 85.  85.],nan,nan
[   218.  14102.],[   943.  26562.],[ 79.  85.],nan,nan
[   97.  7226.],nan,[   69.  3195.],nan,nan
[  218.  7226.],nan,[   90.  1778.],nan,nan
[   252.  14214.],nan,[   91.  3195.],nan,nan
